epoch,step,test_loss,train_accuracy,train_f1_score,train_loss,val_loss
0,781,,,,,0.27318018674850464
0,781,,0.8837400078773499,0.8837400078773499,0.44446608424186707,
1,1563,,,,,0.2041708081960678
1,1563,,0.9334999918937683,0.9334999918937683,0.23036210238933563,
2,2345,,,,,0.1662907749414444
2,2345,,0.9492599964141846,0.9492599964141846,0.1736581027507782,
3,2346,,,,,0.14988118410110474
3,2346,0.1569179743528366,,,,
