epoch,step,train_accuracy,train_f1_score,train_loss,val_loss
0,781,,,,0.2679371237754822
0,781,0.8830599784851074,0.8830599784851074,0.4483831226825714,
1,1563,,,,0.2135726362466812
1,1563,0.9355400204658508,0.9355400204658508,0.22887831926345825,
2,2345,,,,0.1904589980840683
2,2345,0.9485800266265869,0.9485800266265869,0.1798606663942337,
3,2346,,,,0.16776931285858154
